,titles,author,pages,genres,pub_date,publisher,google_ratings,total_google_ratings,maturity,price,ebook,index,id,book_id,books_count,original_publication_year,original_title,short_title,language_code,goodbook_rating,ratings_count,work_ratings_count,work_text_reviews_count,main_tag,secondary_tag,minor_tag
4347,Mr. Perfect,Linda Howard,352,Fiction,2012-12-11,Simon and Schuster,4.0,20,NOT_MATURE,,False,5061,5062,469901,47,2000.0,Mr. Perfect,Mr. Perfect,eng,4.07,24753,26801,1306,romance,romantic-suspense,suspense
4348,Mr. Popper's Penguins,Richard Atwater,140,Juvenile Fiction,2011-06-14,Open Road Media,4.0,82,NOT_MATURE,6.99,True,2310,2311,61549,63,1938.0,Mr. Popper's Penguins,Mr. Popper's Penguins,eng,3.95,48964,51787,2031,childrens,fiction,children
4349,Mrs. Dalloway,Virginia Woolf,194,Fiction,1925,Houghton Mifflin Harcourt,3.5,139,NOT_MATURE,,False,700,701,14942,572,1925.0,Mrs Dalloway,Mrs. Dalloway,en-US,3.78,136327,158347,6360,classics,fiction,classic
4350,"Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)",Robert C. O'Brien,256,Juvenile Fiction,2011-01-06,Penguin UK,4.0,70,NOT_MATURE,,False,737,738,9822,73,1971.0,Mrs. Frisby and the Rats of NIMH,"Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)",,4.13,135978,142350,2718,fantasy,childrens,fiction
4351,Mrs. Kennedy and Me: An Intimate Memoir,Clint Hill,352,Biography & Autobiography,2012-04-03,Simon and Schuster,4.0,28,NOT_MATURE,12.99,True,9093,9094,13230263,11,2012.0,,Mrs. Kennedy and Me: An Intimate Memoir,eng,4.14,8722,10163,1331,non-fiction,biography,memoir
4352,Mrs. Lincoln's Dressmaker,Jennifer Chiaverini,384,Fiction,2013-01-15,Penguin,3.5,47,NOT_MATURE,11.99,True,6087,6088,15808287,13,2013.0,Mrs. Lincoln's Dressmaker,Mrs. Lincoln's Dressmaker,eng,3.41,16366,18509,2851,historical-fiction,historical,fiction
4353,"Mrs. Mike (Mrs. Mike, #1)",Benedict Freedman,368,Fiction,2005-12-06,Penguin,,,NOT_MATURE,11.99,True,8323,8324,155712,32,1947.0,Mrs. Mike,"Mrs. Mike (Mrs. Mike, #1)",eng,4.13,12826,14364,1756,historical-fiction,fiction,romance
4354,"Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #1)",Betty MacDonald,176,Juvenile Fiction,1994-06-03,Harper Collins,4.5,6,NOT_MATURE,,False,2749,2750,25051,31,1947.0,Mrs. Piggle-Wiggle,"Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #1)",eng,4.16,44068,45128,1080,childrens,children,children-s-books
4355,"Mrs. Piggle-Wiggle's Magic (Mrs. Piggle Wiggle, #2)",Betty MacDonald,126,Juvenile Fiction,2007-08-14,Harper Collins,4.0,16,NOT_MATURE,,False,8855,8856,25052,23,1949.0,Mrs. Piggle-Wiggle's Magic,"Mrs. Piggle-Wiggle's Magic (Mrs. Piggle Wiggle, #2)",eng,4.17,11756,12382,235,childrens,fiction,children-s-books
4356,"Ms. Marvel, Vol. 1: No Normal",G. Willow Wilson,120,Comics & Graphic Novels,2014-10-15,Marvel Entertainment,4.0,32,NOT_MATURE,15.99,True,3435,3436,20898019,21,2014.0,"Ms. Marvel, Vol. 1: No Normal","Ms. Marvel, Vol. 1: No Normal",eng,4.13,53515,55083,4137,graphic-novels,comics,graphic-novel
4357,"Ms. Marvel, Vol. 2: Generation Why",G. Willow Wilson,,Comics & Graphic Novels,2015-03-11,Marvel Entertainment,,,NOT_MATURE,15.99,True,6467,6468,23017947,14,2015.0,"Ms. Marvel, Vol. 2: Generation Why","Ms. Marvel, Vol. 2: Generation Why",eng,4.14,17048,17562,1725,graphic-novels,graphic-novel,young-adult
4358,Much Ado About Nothing,William Shakespeare,304,Performing Arts,2011-08-23,Simon and Schuster,4.0,38,NOT_MATURE,,False,529,530,12957,805,1598.0,Much Ado About Nothing,Much Ado About Nothing,eng,4.06,175616,185702,2686,classics,plays,shakespeare
4359,Mud Vein,Tarryn Fisher,290,,2016-05-03,,,,NOT_MATURE,,False,8394,8395,18246727,10,2014.0,Mud Vein,Mud Vein,eng,4.11,16593,16961,3439,dark,romance,new-adult
4360,Mudbound,Hillary Jordan,336,Fiction,2008-03-04,Algonquin Books,4.0,125,NOT_MATURE,15.95,True,2113,2114,2138727,41,2008.0,Mudbound,Mudbound,eng,3.99,43455,47971,4921,historical-fiction,fiction,american-south
4361,Mufaro's Beautiful Daughters: An African Tale,John Steptoe,32,Juvenile Fiction,1987-03-31,Harper Collins,4.5,5,NOT_MATURE,,False,7334,7335,845403,30,1986.0,Mufaro's Beautiful Daughters: An African Tale,Mufaro's Beautiful Daughters: An African Tale,en-US,4.32,16479,16695,697,picture-books,children-s-books,childrens
4362,"Mummies in the Morning (Magic Tree House, #3)",Mary Pope Osborne,80,Juvenile Fiction,2010-06-15,Random House Books for Young Readers,3.5,3,NOT_MATURE,5.99,True,9855,9856,268955,53,2013.0,,"Mummies in the Morning (Magic Tree House, #3)",eng,3.86,12551,13056,551,magic-tree-house,childrens,fantasy
4363,"Murder Must Advertise  (Lord Peter Wimsey, #10)",Dorothy L. Sayers,328,Fiction,2012-07-31,Open Road Media,5.0,1,NOT_MATURE,9.99,True,7854,7855,351559,87,1933.0,Murder Must Advertise,"Murder Must Advertise  (Lord Peter Wimsey, #10)",eng,4.21,14672,15762,654,mystery,fiction,mysteries
4364,"Murder at the Vicarage (Miss Marple, #1)",Agatha Christie,304,Fiction,2009-03-17,Harper Collins,3.5,70,NOT_MATURE,9.99,True,1057,1058,16331,216,1930.0,Murder at the Vicarage,"Murder at the Vicarage (Miss Marple, #1)",eng,4.03,93963,100137,2199,mystery,agatha-christie,classics
4365,"Murder in Mesopotamia (Hercule Poirot, #14)",Agatha Christie,288,Fiction,2011-09-27,Harper Collins,3.5,21,NOT_MATURE,,False,5664,5665,16360,196,1936.0,Murder in Mesopotamia,"Murder in Mesopotamia (Hercule Poirot, #14)",eng,3.86,21207,24492,892,mystery,agatha-christie,crime
4366,"Murder of Crows (The Others, #2)",Anne Bishop,368,Fiction,2014-03-04,Penguin,4.0,39,NOT_MATURE,5.99,True,6595,6596,17563080,21,2014.0,Murder of Crows,"Murder of Crows (The Others, #2)",eng,4.31,22994,24694,2235,fantasy,urban-fantasy,paranormal
4367,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,346,Fiction,2011-03-29,Harper Collins,4.0,71,NOT_MATURE,,False,671,672,16304,429,1934.0,Murder in the Calais Coach,"Murder on the Orient Express (Hercule Poirot, #10)",eng,4.16,138444,173662,8713,,,
4368,Musashi,Eiji Yoshikawa,984,Fiction,2012-08-10,"Vertical, Inc.",4.0,11,NOT_MATURE,18.99,True,7172,7173,102030,52,1935.0,???? Miyamoto Musashi,Musashi,eng,4.43,9574,11744,759,fiction,historical-fiction,japan
4369,"Music of the Heart (Runaway Train, #1)",Katie Ashley,326,Fiction,2013-03-25,Katie Ashley,4.0,2,NOT_MATURE,0.99,True,5095,5096,16062210,10,2013.0,Music of the Heart,"Music of the Heart (Runaway Train, #1)",eng,4.0,32013,33943,2290,romance,new-adult,music
4370,Musicophilia: Tales of Music and the Brain,Oliver Sacks,448,Psychology,2010-02-05,Vintage Canada,3.5,1777,NOT_MATURE,,False,2420,2421,1297985,68,2007.0,Musicophilia: Tales of Music and the Brain,Musicophilia: Tales of Music and the Brain,eng,3.88,38152,41030,1905,non-fiction,music,science
4371,Mutant Message Down Under,Marlo Morgan,224,Fiction,2009-03-17,Harper Collins,3.5,33,NOT_MATURE,9.74,True,8238,8239,32349,79,1990.0,Mutant Message Down Under,Mutant Message Down Under,eng,3.79,9981,12423,1357,fiction,non-fiction,spirituality
4372,"Mutiny on the Bounty (The Bounty Trilogy, #1)",Charles Bernard Nordhoff,532,,2018-01-17,Createspace Independent Publishing Platform,3.5,7,NOT_MATURE,,False,8557,8558,844051,59,1932.0,Mutiny on the Bounty,"Mutiny on the Bounty (The Bounty Trilogy, #1)",en-US,3.97,11746,12266,195,classics,historical-fiction,fiction
4373,My Beloved World,Sonia Sotomayor,336,Biography & Autobiography,2013-01-15,Vintage,4.0,32,NOT_MATURE,9.99,True,4724,4725,13642929,20,2013.0,,My Beloved World,eng,4.03,17742,20156,2789,non-fiction,memoir,biography
4374,My Best Friend's Girl,Dorothy Koomson,480,Fiction,2008-03-25,Bantam Discovery,3.5,18,NOT_MATURE,,False,6018,6019,1617875,39,2006.0,My Best Friend's Girl,My Best Friend's Girl,,4.02,14811,17072,999,fiction,chick-lit,dorothy-koomson
4375,"My Blood Approves (My Blood Approves, #1)",Amanda Hocking,278,,2016-05-03,Createspace Independent Publishing Platform,,,NOT_MATURE,,False,5270,5271,8046350,32,2010.0,My Blood Approves,"My Blood Approves (My Blood Approves, #1)",eng,3.83,21707,26660,1704,,,
4376,My Booky Wook,Russell Brand,300,Biography & Autobiography,2008-11-13,Hodder & Stoughton,,,MATURE,,False,4955,4956,2063563,22,2007.0,My Booky Wook,My Booky Wook,en-GB,3.42,16553,20083,1564,non-fiction,biography,memoir
4377,My Brilliant Friend (The Neapolitan Novels #1),Elena Ferrante,336,Fiction,2012-09-25,Penguin,3.5,88,NOT_MATURE,,False,1186,1187,13586707,9,2011.0,L'amica geniale,My Brilliant Friend (The Neapolitan Novels #1),eng,3.88,64637,88433,10235,,,
4378,My Brother Sam Is Dead,James Lincoln Collier,240,Fiction,2012-04-13,AudioGO,3.5,49,NOT_MATURE,7.99,True,9356,9357,122756,26,1974.0,My Brother Sam Is Dead,My Brother Sam Is Dead,eng,3.39,12817,13445,1556,historical-fiction,young-adult,fiction
4379,My Cousin Rachel,Daphne du Maurier,78,Drama,1980,"Dramatists Play Service, Inc.",3.5,4,NOT_MATURE,,False,6915,6916,18869970,130,1951.0,My Cousin Rachel,My Cousin Rachel,eng,3.92,9557,20819,2163,classics,mystery,historical-fiction
4380,"My Fair Lazy: One Reality Television Addict's Attempt to Discover If Not Being A Dumb Ass Is the New Black, or, a Culture-Up Manifesto",Jen Lancaster,382,Biography & Autobiography,2011-05,Penguin,3.5,594,NOT_MATURE,,False,9272,9273,7090290,8,2010.0,,"My Fair Lazy: One Reality Television Addict's Attempt to Discover If Not Being A Dumb Ass Is the New Black, or, a Culture-Up Manifesto",eng,3.91,11826,12374,1014,memoir,non-fiction,humor
4381,"My Family and Other Animals (Corfu Trilogy, #1)",Gerald Durrell,320,Biography & Autobiography,2017-04-20,Penguin UK,,,NOT_MATURE,,False,4637,4638,48132,138,1956.0,My Family and Other Animals,"My Family and Other Animals (Corfu Trilogy, #1)",en-US,4.27,20057,23944,1892,non-fiction,biography,memoir
4382,"My Father's Dragon (My Father's Dragon, #1)",Ruth Stiles Gannett,17,Juvenile Fiction,2017-07-04,Open Road Media,4.0,25,NOT_MATURE,0.99,True,4418,4419,34898,81,1948.0,My Father's Dragon (My Father's Dragon Trilogy),"My Father's Dragon (My Father's Dragon, #1)",eng,4.09,25905,26842,1233,fantasy,childrens,kids
4383,"My Favorite Mistake (My Favorite Mistake, #1)",Chelsea M. Cameron,368,Fiction,2013-09-01,Harlequin,4.0,10,NOT_MATURE,2.99,True,2971,2972,15748898,30,2012.0,My Favorite Mistake,"My Favorite Mistake (My Favorite Mistake, #1)",en-US,4.01,30177,51892,2371,,,
4384,My Friend Dahmer,Derf Backderf,224,Comics & Graphic Novels,2012-03-01,Abrams,4.0,45,NOT_MATURE,16.19,True,9366,9367,12959045,13,2012.0,My Friend Dahmer,My Friend Dahmer,eng,3.88,11563,12333,1874,graphic-novels,graphic-novel,non-fiction
4385,"My Friend Flicka (Flicka, #1)",Mary O'Hara,304,Fiction,2005-12-27,Harper Collins,4.0,15,NOT_MATURE,,False,4241,4242,164542,63,1941.0,"My Friend Flicka (Flicka, #1)","My Friend Flicka (Flicka, #1)",en-US,4.15,25180,25768,290,horses,classics,fiction
4386,My Friend Leonard,James Frey,416,Biography & Autobiography,2005-06-16,Penguin,4.0,34,NOT_MATURE,10.99,True,2378,2379,6520,37,2005.0,My Friend Leonard,My Friend Leonard,,3.83,34996,36676,1589,fiction,memoir,non-fiction
4387,My Grandmother Asked Me to Tell You She's Sorry,Fredrik Backman,400,Fiction,2016-04-05,Simon and Schuster,4.0,61,NOT_MATURE,,False,2057,2058,23604559,71,2013.0,Min mormor hälsar och säger förlåt,My Grandmother Asked Me to Tell You She's Sorry,eng,4.02,49291,64396,9989,fiction,contemporary,fantasy
4388,My Heart and Other Black Holes,Jasmine Warga,320,Young Adult Fiction,2015-02-10,Harper Collins,3.5,13,NOT_MATURE,8.99,True,5278,5279,18336965,39,2015.0,My Heart and Other Black Holes,My Heart and Other Black Holes,eng,4.02,22311,27878,4279,young-adult,contemporary,romance
4389,My Horizontal Life: A Collection of One-Night Stands,Chelsea Handler,240,Humor,2013-04-30,Grand Central Publishing,3.5,121,MATURE,7.99,True,1006,1007,35982,33,2004.0,My Horizontal Life: A Collection of One-Night Stands,My Horizontal Life: A Collection of One-Night Stands,en-GB,3.79,83607,89257,6051,non-fiction,humor,memoir
4390,"My Lady Jane (The Lady Janies, #1)",Cynthia Hand,512,Young Adult Fiction,2016-06-07,HarperCollins,4.0,18,NOT_MATURE,8.99,True,9643,9644,22840421,18,2016.0,My Lady Jane,"My Lady Jane (The Lady Janies, #1)",eng,4.12,12794,15433,4228,historical-fiction,fantasy,young-adult
4391,My Life,Bill Clinton,656,Biography & Autobiography,2005,Vintage Books,4.5,2,NOT_MATURE,,False,2424,2425,49195,50,2004.0,My Life,My Life,eng,3.72,35852,37311,1049,biography,non-fiction,politics
4392,My Life Next Door,Huntley Fitzpatrick,464,,2015-10-01,Electric Monkey,4.0,2823,NOT_MATURE,,False,1079,1080,12294652,33,2012.0,My Life Next Door ,My Life Next Door,eng,4.02,102012,108389,8327,young-adult,romance,contemporary
4393,My Life in France,Julia Child,364,Biography & Autobiography,2009-03-12,Gerald Duckworth & Co,4.0,143,NOT_MATURE,,False,1440,1441,5084,38,2006.0,My Life in France,My Life in France,eng,4.16,63100,67577,6515,memoir,non-fiction,food
4394,My Life on the Road,Gloria Steinem,352,Biography & Autobiography,2015-10-27,Random House,4.0,27,NOT_MATURE,13.99,True,7198,7199,15451058,21,2015.0,My Life on the Road,My Life on the Road,eng,4.08,15997,17852,2554,non-fiction,feminism,memoir
4395,My Life with the Walter Boys (My Life with the Walter Boys #1),Ali Novak,368,Juvenile Fiction,2014-03-01,"Sourcebooks, Inc.",4.0,7,NOT_MATURE,,False,9008,9009,13580846,14,2012.0,My Life with the Walter Boys,My Life with the Walter Boys (My Life with the Walter Boys #1),eng,3.93,13515,15051,1509,young-adult,wattpad,contemporary
4396,My Lobotomy,Howard Dully,288,Biography & Autobiography,2007-09-04,Broadway Books,4.5,5,NOT_MATURE,14.99,True,9886,9887,503248,21,2007.0,My Lobotomy,My Lobotomy,eng,3.7,8068,9615,1247,non-fiction,memoir,psychology
4397,"My Man Jeeves (Jeeves, #1)",P.G. Wodehouse,,Humor,2014-02-16,"Lulu Press, Inc",3.0,27,NOT_MATURE,0.99,True,4221,4222,200572,263,1919.0,My Man Jeeves,"My Man Jeeves (Jeeves, #1)",eng,4.13,23020,26687,1423,short-stories,humour,fiction
4398,My Name Is Asher Lev,Chaim Potok,384,Fiction,2009-07-01,Anchor,4.0,34,NOT_MATURE,12.99,True,3612,3613,11507,64,1972.0,My Name Is Asher Lev,My Name Is Asher Lev,eng,4.19,29273,30833,2300,fiction,classics,historical-fiction
4399,My Name Is Lucy Barton,Elizabeth Strout,208,Fiction,2016-01-12,Random House,3.5,1803,NOT_MATURE,11.99,True,1687,1688,25893709,49,2016.0,My Name Is Lucy Barton,My Name Is Lucy Barton,eng,3.51,49578,65707,8732,fiction,read-in-2016,literary-fiction
4400,My Name Is Memory,Ann Brashares,352,Fiction,2010-06-01,Penguin,4.0,17,NOT_MATURE,9.99,True,5022,5023,7135858,46,2010.0,,My Name Is Memory,eng,3.7,23498,26627,4661,fantasy,historical-fiction,chick-lit
4401,My Name is Mary Sutter,Robin Oliveira,384,Fiction,2010-05-13,Penguin,4.0,62,NOT_MATURE,12.99,True,6681,6682,7352053,16,2010.0,My Name Is Mary Sutter,My Name is Mary Sutter,en-US,3.81,16348,17720,2473,historical-fiction,fiction,civil-war
4402,My Name is Red,Orhan Pamuk,448,Fiction,2011-08-05,Faber & Faber,3.5,53,NOT_MATURE,,False,3047,3048,2517,140,1998.0,Benim Ad?m K?rm?z?,My Name is Red,eng,3.83,27314,33212,3006,fiction,historical-fiction,mystery
4403,"My Side of the Mountain (Mountain, #1)",Jean Craighead George,177,Braille books,1991,,4.0,54,NOT_MATURE,,False,2474,2475,41667,54,1959.0,My Side of the Mountain ,"My Side of the Mountain (Mountain, #1)",eng,4.03,47002,50618,2441,fiction,young-adult,childrens
4404,My Sister's Grave (Tracy Crosswhite #1),Robert Dugoni,410,Fiction,2014-11-01,Thomas & Mercer,4.5,2,NOT_MATURE,,False,1946,1947,22744701,25,2014.0,My Sister's Grave,My Sister's Grave (Tracy Crosswhite #1),eng,4.0,31029,54934,3527,,,
4405,My Sister's Keeper,Jodi Picoult,448,Fiction,2009-05-19,Simon and Schuster,4.5,97,NOT_MATURE,,False,63,64,10917,125,2004.0,My Sister's Keeper,My Sister's Keeper,eng,4.06,863879,887880,30719,fiction,jodi-picoult,contemporary
4406,"My Soul to Keep (Soul Screamers, #3)",Rachel Vincent,304,Juvenile Fiction,2010-06-01,Harlequin,,,NOT_MATURE,4.99,True,8081,8082,7476122,25,2010.0,My Soul to Keep,"My Soul to Keep (Soul Screamers, #3)",eng,4.09,17033,17854,928,young-adult,paranormal,fantasy
4407,"My Soul to Save (Soul Screamers, #2)",Rachel Vincent,304,Juvenile Fiction,2010-01-01,Harlequin,3.5,31,NOT_MATURE,3.99,True,8475,8476,6763961,27,2009.0,My Soul to Save,"My Soul to Save (Soul Screamers, #2)",en-US,3.98,18243,19280,1110,young-adult,paranormal,fantasy
4408,"My Soul to Steal (Soul Screamers, #4)",Rachel Vincent,304,Juvenile Fiction,2011-01-01,Harlequin,,,NOT_MATURE,4.99,True,9582,9583,8487363,21,2010.0,My Soul to Steal,"My Soul to Steal (Soul Screamers, #4)",en-US,4.13,14593,15236,873,young-adult,paranormal,fantasy
4409,"My Soul to Take (Soul Screamers, #1)",Rachel Vincent,576,Juvenile Fiction,2011-11-22,Harlequin,4.0,4,NOT_MATURE,,False,4155,4156,6315602,28,2009.0,My Soul to Take,"My Soul to Take (Soul Screamers, #1)",eng,3.88,35680,37630,2547,young-adult,paranormal,fantasy
4410,My Story,Elizabeth  Smart,320,Biography & Autobiography,2013-10-07,St. Martin's Press,3.5,22,NOT_MATURE,9.99,True,3314,3315,17287028,2,2013.0,,My Story,eng,3.77,23294,25846,3604,memoir,non-fiction,true-crime
4411,"My Story: ""A Child Called It"", ""The Lost Boy"", ""A Man Named Dave""",Dave Pelzer,352,Biography & Autobiography,1999-10-01,Penguin,4.5,68,NOT_MATURE,12.99,True,9264,9265,822989,7,1995.0,"My Story: ""A Child Called It"", ""The Lost Boy"", ""A Man Named Dave""","My Story: ""A Child Called It"", ""The Lost Boy"", ""A Man Named Dave""",en-US,4.18,8201,9204,590,biography,memoir,non-fiction
4412,My Stroke of Insight: A Brain Scientist's Personal Journey,Jill Bolte Taylor,224,Biography & Autobiography,2008-05-12,Penguin,3.5,80,NOT_MATURE,14.99,True,5771,5772,142292,67,2006.0,My Stroke of Insight,My Stroke of Insight: A Brain Scientist's Personal Journey,en-US,3.86,14734,18509,2900,non-fiction,science,memoir
4413,My Sunshine Away,M.O. Walsh,320,Fiction,2015-02-10,Penguin,4.0,28,NOT_MATURE,11.99,True,7481,7482,22367526,30,2015.0,My Sunshine Away,My Sunshine Away,eng,3.6,11118,13135,1810,fiction,mystery,coming-of-age
4414,"My Sweet Audrina (Audrina, #1)",V.C. Andrews,560,Fiction,2015-12-29,Simon and Schuster,3.0,18,NOT_MATURE,,False,6013,6014,805023,46,1982.0,My Sweet Audrina,"My Sweet Audrina (Audrina, #1)",,3.92,18549,19602,844,fiction,v-c-andrews,vc-andrews
4415,My True Love Gave to Me: Twelve Holiday Stories,Stephanie Perkins,336,Young Adult Fiction,2014-10-14,St. Martin's Griffin,4.0,26,NOT_MATURE,7.8,True,5183,5184,20309175,39,2014.0,My True Love Gave to Me: Twelve Holiday Stories,My True Love Gave to Me: Twelve Holiday Stories,eng,3.73,22480,26790,5521,christmas,read-in-2014,anthology
4416,My Utmost for His Highest,Oswald Chambers,400,Religion,2017-12,,,,NOT_MATURE,,False,1720,1721,175510,134,1926.0,My Utmost for His Highest,My Utmost for His Highest,eng,4.39,47720,50738,652,devotional,christianity,christian
4417,My Year of Meats,Ruth Ozeki,400,Fiction,1999-03-01,Penguin,,,NOT_MATURE,14.99,True,8515,8516,12349,34,1998.0,My Year of Meats,My Year of Meats,eng,3.93,10297,11143,1254,fiction,food,japan
4418,My Ántonia,Willa Cather,372,Czech Americans,1918,,4.0,6,NOT_MATURE,,True,1093,1094,17150,501,1918.0,My Ántonia,My Ántonia,eng,3.76,81102,101039,5860,classics,fiction,historical-fiction
4419,"Mystery (Alex Delaware, #26)",Jonathan Kellerman,336,Fiction,2011-03-29,Ballantine Books,3.5,19,NOT_MATURE,7.99,True,9634,9635,8765012,36,2011.0,Mystery,"Mystery (Alex Delaware, #26)",en-US,3.87,9396,11279,662,fiction,alex-delaware,mysteries
4420,"Mystery Man (Dream Man, #1)",Kristen Ashley,277,FICTION,2014-07-01,,3.5,27,NOT_MATURE,,False,3149,3150,12299419,21,2011.0,"Mystery Man (Dream Man, #1)","Mystery Man (Dream Man, #1)",eng,4.25,53263,57382,3921,romance,kristen-ashley,contemporary
4421,Mystic River,Dennis Lehane,608,Fiction,2009-10-13,Harper Collins,,,NOT_MATURE,9.74,True,1175,1176,21671,97,2001.0,Mystic River,Mystic River,en-US,4.19,86103,91248,2836,mystery,fiction,crime
4422,Mythologies,Roland Barthes,288,Literary Collections,2013-03-12,Macmillan,4.0,9,NOT_MATURE,,False,9302,9303,51715,82,1957.0,Mythologies,Mythologies,eng,4.11,9325,10470,373,philosophy,non-fiction,theory
4423,Mythology: Timeless Tales of Gods and Heroes,Edith Hamilton,384,History,2017-09-26,Black Dog & Leventhal,4.0,49,NOT_MATURE,15.99,True,3594,3595,23522,111,1942.0,Mythology,Mythology: Timeless Tales of Gods and Heroes,en-US,3.98,30804,35584,1658,non-fiction,fiction,history
4424,"N is for Noose (Kinsey Millhone, #14)",Sue Grafton,320,Fiction,2010-04-01,Holt Paperbacks,3.0,16,NOT_MATURE,8.99,True,4908,4909,64864,48,1998.0,"""N"" is for Noose","N is for Noose (Kinsey Millhone, #14)",eng,3.97,24658,26565,524,mystery,sue-grafton,fiction
4425,NOS4A2,Joe Hill,720,Fiction,2013-04-30,Harper Collins,4.0,128,NOT_MATURE,10.74,True,1769,1770,15729539,20,2013.0,NOS4A2,NOS4A2,eng,4.06,50181,59499,7761,horror,fiction,fantasy
4426,NW,Zadie Smith,416,Fiction,2012-09-04,Penguin,3.5,18,MATURE,14.99,True,4353,4354,13537891,51,2012.0, NW ,NW,eng,3.41,20062,23926,2851,fiction,contemporary,london
4427,"NYPD Red (NYPD Red, #1)",James Patterson,400,Fiction,2012-10-08,"Little, Brown",3.5,36,NOT_MATURE,9.99,True,4625,4626,14781501,44,2012.0,NYPD Red,"NYPD Red (NYPD Red, #1)",,3.9,19252,24953,1906,mystery,james-patterson,thriller
4428,"NYPD Red 2 (NYPD Red, #2)",James Patterson,416,Fiction,2014-03-24,"Little, Brown",3.5,10,NOT_MATURE,9.99,True,7642,7643,18170134,39,2014.0,NYPD Red 2,"NYPD Red 2 (NYPD Red, #2)",eng,4.07,9293,14204,991,james-patterson,mystery,fiction
4429,"NYPD Red 3 (NYPD Red, #3)",James Patterson,384,Fiction,2015-03-16,"Little, Brown",3.5,8,NOT_MATURE,9.99,True,8005,8006,22674493,30,2015.0,NYPD Red 3,"NYPD Red 3 (NYPD Red, #3)",,4.03,6798,12121,806,james-patterson,mystery,patterson
4430,Naked,David Sedaris,304,Humor,2009-05-04,Back Bay Books,3.5,4028,NOT_MATURE,9.99,True,343,344,4138,54,1997.0,Naked,Naked,en-US,4.08,201337,204766,5096,humor,non-fiction,memoir
4431,"Naked (The Blackstone Affair, #1)",Raine Miller,164,Fiction,2013-05-14,Simon and Schuster,3.0,16,MATURE,,False,1980,1981,15852756,30,2010.0,Naked,"Naked (The Blackstone Affair, #1)",eng,4.02,64223,66632,2940,romance,erotica,series
4432,Naked Economics: Undressing the Dismal Science,Charles Wheelan,354,Business & Economics,2010-04-19,W. W. Norton & Company,3.5,12,NOT_MATURE,,False,8083,8084,33293,25,2002.0,Naked Economics: Undressing the Dismal Science,Naked Economics: Undressing the Dismal Science,,4.0,5646,11154,809,,,
4433,"Naked Empire (Sword of Truth, #8)",Terry Goodkind,672,Fiction,2010-12-28,Macmillan,3.5,26,NOT_MATURE,9.99,True,2398,2399,43893,47,2003.0,"Naked Empire (Sword of Truth, #8)","Naked Empire (Sword of Truth, #8)",en-GB,3.82,39682,42066,548,fantasy,sword-of-truth,terry-goodkind
4434,"Naked Heat (Nikki Heat, #2)",Richard Castle,304,Fiction,2010-09-28,Disney Electronic Content,3.5,49,NOT_MATURE,7.99,True,6528,6529,7776678,40,2010.0,Naked Heat,"Naked Heat (Nikki Heat, #2)",en-US,3.75,16146,19486,1804,mystery,fiction,crime
4435,Naked Lunch,William S. Burroughs,304,Fiction,2007-12-01,"Grove/Atlantic, Inc.",3.5,19,NOT_MATURE,15.99,True,1570,1571,7437,139,1959.0,The Naked Lunch,Naked Lunch,en-US,3.46,55473,61769,2759,fiction,classics,literature
4436,"Naked in Death (In Death, #1)",J.D. Robb,313,Fiction,1995,Penguin,4.0,97,MATURE,,False,831,832,268602,101,1995.0,Naked in Death,"Naked in Death (In Death, #1)",en-US,4.13,78028,126781,4462,,,
4437,"Nana (Les Rougon-Macquart, #9)",Émile Zola,380,,1882,,5.0,1,NOT_MATURE,,True,7089,7090,371456,181,1880.0,Nana,"Nana (Les Rougon-Macquart, #9)",ger,3.84,13610,15562,424,classics,fiction,french
4438,"Nana, Vol. 1 (Nana, #1)",Ai Yazawa,187,Comics & Graphic Novels,2013-01-15,VIZ Media LLC,4.0,18,NOT_MATURE,6.99,True,3650,3651,98413,20,2000.0,NANA???? 1,"Nana, Vol. 1 (Nana, #1)",en-US,4.21,28627,28853,377,manga,romance,graphic-novels
4439,Nancy Drew: #1-64,Carolyn Keene,160,Juvenile Fiction,2013-05-28,Simon and Schuster,4.0,3,NOT_MATURE,5.99,True,6428,6429,48811,4,,"Nancy Drew Complete Series Set, Books 1-64",Nancy Drew: #1-64,eng,4.19,16743,16810,360,mystery,classics,childhood-favorites
4440,Nantucket Nights,Elin Hilderbrand,240,Fiction,2010-04-01,St. Martin's Press,3.0,15,NOT_MATURE,8.99,True,8764,8765,284195,12,2002.0,Nantucket Nights,Nantucket Nights,,3.64,9825,11510,912,elin-hilderbrand,chick-lit,fiction
4441,Napalm & Silly Putty,George Carlin,352,History,2013-04-01,Harvard University Press,3.0,1,NOT_MATURE,19.95,True,6918,6919,55354,22,2001.0,Napalm & Silly Putty,Napalm & Silly Putty,eng,4.12,12798,13437,316,humor,comedy,non-fiction
4442,Narcissus and Goldmund,Hermann Hesse,320,Fiction,2013-01-22,"Farrar, Straus and Giroux",,,NOT_MATURE,9.99,True,3084,3085,5954,214,1930.0,Narziß und Goldmund,Narcissus and Goldmund,eng,4.19,25544,32779,1318,fiction,classics,german
